id;name;price;capacity;price_per_gb;type;cache;form_factor;interface
1415;SanDisk X400;;256;;SSD;;M.2-2280;M.2 SATA
1416;Corsair Force MP500;;480;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1417;Inland Platinum;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1418;KIOXIA EXCERIA PLUS G2;;500;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1419;Seagate Exos X18;;16000;;7200;256;3.5;SAS 12.0 Gb/s
1420;Silicon Power UD85;;4000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1421;Seagate IronWolf NAS;178.99;8000;0.022;7200;256;3.5;SATA 6.0 Gb/s
1422;TEAMGROUP T-Create Classic DL;131.99;2000;0.066;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1423;Lexar NQ100;99.99;1920;0.052;SSD;;2.5;SATA 6.0 Gb/s
1424;Toshiba X300 Pro;302.99;14000;0.022;7200;512;3.5;SATA 6.0 Gb/s
1425;Seagate Exos 7E8;77.95;3000;0.026;7200;256;3.5;SATA 6.0 Gb/s
1426;Inland TN320;119.99;2000;0.06;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1427;Seagate IronWolf NAS;228.78;10000;0.023;7200;256;3.5;SATA 6.0 Gb/s
1428;Patriot Viper VP4300;169.99;2000;0.085;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1429;Kingston Q500;32.27;240;0.134;SSD;;2.5;SATA 6.0 Gb/s
1430;Toshiba X300;146;4000;0.036;7200;128;3.5;SATA 6.0 Gb/s
1431;Toshiba P300;73.65;2000;0.037;5400;256;3.5;SATA 6.0 Gb/s
1432;Intel 760p;109;1000;0.109;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1433;Addlink A93 PS5;84.44;1000;0.084;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1434;Sabrent Rocket Q4;130.84;1000;0.131;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1435;ADATA Legend 850;59.34;512;0.116;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1436;Western Digital Scorpio Blue;23;160;0.144;5400;8;2.5;SATA 3.0 Gb/s
1437;Seagate Momentus 5400.6;29.99;250;0.12;5400;8;2.5;SATA 3.0 Gb/s
1438;ADATA XPG GAMMIX S11 Pro;239.67;2000;0.12;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1439;Seagate SV35.5;31.34;500;0.063;5900;16;3.5;SATA 3.0 Gb/s
1440;Seagate SkyHawk;;2000;;5900;64;3.5;SATA 6.0 Gb/s
1441;Micron 5300 PRO;;7680;;SSD;;2.5;SATA 6.0 Gb/s
1442;Western Digital RE4;;2000;;7200;64;3.5;SATA 3.0 Gb/s
1443;Samsung SM951;;128;;SSD;256;M.2-2280;M.2 PCIe 3.0 X4
1444;Toshiba XG5;;256;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1445;Western Digital Black NVMe;;500;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1446;Seagate Enterprise Capacity;;12000;;7200;256;3.5;SATA 6.0 Gb/s
1447;ADATA Ultimate SU750;;512;;SSD;;2.5;SATA 6.0 Gb/s
1448;ADATA Falcon;151.66;1000;0.152;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1449;Crucial P5;;250;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1450;Acer SA100;27.99;240;0.117;SSD;;2.5;SATA 6.0 Gb/s
1451;Western Digital SN530;;1024;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1452;Leven JPS850;;2000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1453;Mushkin ELEMENT;24.9;256;0.097;SSD;;2.5;SATA 6.0 Gb/s
1454;Toshiba X300;199;10000;0.02;7200;256;3.5;SATA 6.0 Gb/s
1455;PNY CS900;320.45;4000;0.08;SSD;;2.5;SATA 6.0 Gb/s
1456;Corsair MP510;;4000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1457;Western Digital Red SN700;73.14;250;0.293;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1458;TEAMGROUP T-Force Cardea Z44Q;;4000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1459;Western Digital Gold;319.99;14000;0.023;7200;512;3.5;SATA 6.0 Gb/s
1460;Western Digital Caviar Black;129.99;4000;0.032;7200;128;3.5;SATA 6.0 Gb/s
1461;TEAMGROUP GX1;42.99;240;0.179;SSD;;2.5;SATA 6.0 Gb/s
1462;Western Digital VelociRaptor;74.84;500;0.15;10000;64;3.5;SATA 6.0 Gb/s
1463;Inland Prime;139.99;2000;0.07;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1464;Integral M2;;512;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1465;Netac NV7000-t;164.99;2000;0.082;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1466;Samsung Spinpoint F1 DT;99.99;1000;0.1;7200;32;3.5;SATA 3.0 Gb/s
1467;Apacer AS350 PANTHER;;256;;SSD;;2.5;SATA 6.0 Gb/s
1468;Toshiba MQ01ABD050V;;500;;5400;;2.5;SATA 6.0 Gb/s
1469;ADATA Ultimate SU650;31.17;240;0.13;SSD;;M.2-2280;M.2 SATA
1470;Samsung 850 Pro;;128;;SSD;;2.5;SATA 6.0 Gb/s
1471;Kingston HyperX Fury;;120;;SSD;;2.5;SATA 6.0 Gb/s
1472;Intel Optane 905P;;1500;;SSD;;PCIe;PCIe x4
1473;ADATA XPG GAMMIX S5;;256;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1474;Western Digital Ultrastar DC HC520;307.93;12000;0.026;7200;;3.5;SATA 6.0 Gb/s
1475;Neo Forza eSports;;1000;;SSD;512;M.2-2280;M.2 PCIe 3.0 X4
1476;Lexar NQ710;;1000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1477;Seagate Enterprise Capacity;236.52;4000;0.059;7200;128;3.5;SATA 6.0 Gb/s
1478;Western Digital Red SA500;89.99;1000;0.09;SSD;;M.2-2280;M.2 SATA
1479;Toshiba X300 Pro;127.99;4000;0.032;7200;256;3.5;SATA 6.0 Gb/s
1480;Western Digital Gold;85.63;1000;0.086;7200;128;3.5;SATA 6.0 Gb/s
1481;Western Digital Gold;194.99;6000;0.032;7200;256;3.5;SATA 6.0 Gb/s
1482;Patriot P300;;256;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1483;Seagate Exos 7E10 512e/4Kn;238.93;10000;0.024;7200;256;3.5;SATA 6.0 Gb/s
1484;TEAMGROUP T-FORCE G70 PRO Aluminum;149.99;2000;0.075;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1485;Western Digital Caviar Green;169;3000;0.056;5400;64;3.5;SATA 3.0 Gb/s
1486;Seagate BarraCuda Pro;151.99;6000;0.025;7200;256;3.5;SATA 6.0 Gb/s
1487;Kingston KC600;33.79;256;0.132;SSD;;2.5;SATA 6.0 Gb/s
1488;Apacer AS2280Q4U;;2000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1489;Western Digital Blue Mobile;19.98;320;0.062;5400;16;2.5;SATA 6.0 Gb/s
1490;Seagate Nytro Enterprise;;15360;;SSD;;2.5;SAS 12.0 Gb/s
1491;KIOXIA EXCERIA;;250;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1492;Netac NV7000-t;102.99;1000;0.103;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1493;Western Digital Ultrastar;;8000;;7200;;3.5;SATA 6.0 Gb/s
1494;Gigabyte AORUS;;1000;;SSD;;PCIe;PCIe x4
1495;Verbatim Vi3000;46.11;256;0.18;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1496;Samsung Spinpoint F4;;2000;;5400;32;3.5;SATA 3.0 Gb/s
1497;Samsung SM951;;256;;SSD;512;M.2-2280;M.2 PCIe 3.0 X4
1498;Toshiba XG5;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1499;Gigabyte AORUS RGB;;512;;SSD;512;M.2-2280;M.2 PCIe 3.0 X4
1500;XPG SX6000 Lite;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1501;ADATA Ultimate SU750;;256;;SSD;;2.5;SATA 6.0 Gb/s
1502;Sabrent Rocket;;1000;;SSD;;M.2-2242;M.2 PCIe 3.0 X4
1503;Klevv CRAS C710;;256;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1504;Inland QN322;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1505;KingSpec VP101;234.99;2000;0.117;SSD;;M.2-2280;M.2 PCIe 5.0 X4
1506;Seagate SkyHawk Surveillance +Rescue;139.99;6000;0.023;5400;256;3.5;SATA 6.0 Gb/s
1507;TEAMGROUP GX2;102.99;2000;0.051;SSD;;2.5;SATA 6.0 Gb/s
1508;Transcend SSD230S;419.99;4000;0.105;SSD;;2.5;SATA 6.0 Gb/s
1509;Western Digital Red SA500;169.99;2000;0.085;SSD;;M.2-2280;M.2 SATA
1510;Kingston A400;50.99;480;0.106;SSD;;M.2-2280;M.2 SATA
1511;Western Digital Caviar Green;69.98;1500;0.047;5400;64;3.5;SATA 3.0 Gb/s
1512;Gigabyte AORUS;;500;;SSD;512;M.2-2280;M.2 PCIe 4.0 X4
1513;Verbatim Vi560;36.76;512;0.072;SSD;;M.2-2280;M.2 SATA
1514;Western Digital Scorpio Blue;27.99;80;0.35;5400;8;2.5;SATA 3.0 Gb/s
1515;Nextorage NN5PRO;399.99;2000;0.2;SSD;4096;M.2-2280;M.2 PCIe 4.0 X8
1516;Western Digital Caviar Blue;51.6;250;0.206;7200;8;3.5;SATA 3.0 Gb/s
1517;Western Digital Red;235;8000;0.029;5400;256;3.5;SATA 6.0 Gb/s
1518;PNY CS2130;99.99;1000;0.1;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1519;Intel D3-S4610;1140;7680;0.148;SSD;;2.5;SATA 6.0 Gb/s
1520;Western Digital Red;122;2000;0.061;5400;64;3.5;SATA 6.0 Gb/s
1521;Transcend TS64GSSD370S;47.99;64;0.75;SSD;;2.5;SATA 6.0 Gb/s
1522;Mushkin Pilot-E;102.61;1000;0.103;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1523;Sabrent Rocket;;4000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1524;Supermicro HDD-T4000-ST4000NM00;;4000;;7200;128;3.5;SATA 6.0 Gb/s
1525;Crucial MX300;;750;;SSD;;2.5;SATA 6.0 Gb/s
1526;Intenso 3812440;26.95;256;0.105;SSD;;2.5;SATA 6.0 Gb/s
1527;Seagate IronWolf Pro;;12000;;7200;256;3.5;SATA 6.0 Gb/s
1528;Intel DC P4511;;2000;;SSD;;M.2-22110;M.2 PCIe 3.0 X4
1529;Neo Forza NFS01;;240;;SSD;;2.5;SATA 6.0 Gb/s
1530;Nextorage G-Series;;8000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1531;Toshiba AL13SEB600;17.85;600;0.03;10500;64;2.5;SAS 6.0 Gb/s
1532;TEAMGROUP A440 Lite;77.98;1000;0.078;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1533;Seagate SkyHawk AI;199.99;8000;0.025;7200;256;3.5;SATA 6.0 Gb/s
1534;Western Digital Red SN700;199.99;2000;0.1;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1535;Transcend 250H;218.02;2000;0.109;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1536;Sabrent Rocket 4.0 HTSK;;2000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1537;ADATA XPG GAMMIX S50 Lite;300;2000;0.15;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1538;Toshiba MG08ADA800E;188.99;8000;0.024;7200;256;3.5;SATA 6.0 Gb/s
1539;Western Digital SanDisk Extreme;;2000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1540;Hitachi Ultrastar 7K6000;87.73;4000;0.022;7200;128;3.5;SATA 6.0 Gb/s
1541;Patriot P300;51.91;512;0.101;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1542;Apacer AS2280P4;;256;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1543;Seagate BarraCuda;36.17;500;0.072;7200;16;3.5;SATA 3.0 Gb/s
1544;Seagate Enterprise;230;12000;0.019;7200;256;3.5;SATA 6.0 Gb/s
1545;TEAMGROUP GX2;26.98;256;0.105;SSD;;2.5;SATA 6.0 Gb/s
1546;Transcend 110S;99.99;1000;0.1;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1547;Silicon Power UD85;;250;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1548;Inland Platinum;449.99;4000;0.112;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1549;Western Digital Caviar Blue;;320;;7200;8;3.5;SATA 3.0 Gb/s
1550;Seagate BarraCuda;54;320;0.169;7200;16;3.5;SATA 6.0 Gb/s
1551;SanDisk X400;164;128;1.281;SSD;;M.2-2280;M.2 SATA
1552;Corsair MP510;;480;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1553;Gigabyte GP-GSM2NE3100TNTD;129;1000;0.129;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1554;GOODRAM CL100 gen.3;77.38;960;0.081;SSD;;2.5;SATA 6.0 Gb/s
1555;ADATA Premier SP550;;240;;SSD;;2.5;SATA 6.0 Gb/s
1556;Western Digital Black;;5000;;7200;128;3.5;SATA 6.0 Gb/s
1557;Intel 600p;;256;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1558;Western Digital Black NVMe;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1559;Micron 1100;;256;;SSD;;2.5;SATA 6.0 Gb/s
1560;ADATA XPG SX8200 960;;960;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1561;Samsung MZ1LV960HCJH;;960;;SSD;;M.2-22110;M.2 PCIe 3.0 X4
1562;HP EX900;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1563;HP S700;;1000;;SSD;;2.5;SATA 6.0 Gb/s
1564;TEAMGROUP T-FORCE Z44A5;;512;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1565;Western Digital Ultrastar DC HC550;279.99;16000;0.017;7200;512;3.5;SAS 12.0 Gb/s
1566;Sabrent Rocket 4.0;39.99;256;0.156;SSD;;M.2-2230;M.2 PCIe 4.0 X4
1567;Micron 9300 Pro;710;7680;0.092;SSD;;2.5;U.2
1568;Seagate IronWolf Pro;249;10000;0.025;7200;256;3.5;SATA 6.0 Gb/s
1569;Nextorage G-Series LE;144.99;2000;0.072;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1570;VisionTek DLX4;189.98;2000;0.095;SSD;;M.2-2242;M.2 PCIe 4.0 X4
1571;Seagate IronWolf 125;;500;;SSD;;2.5;SATA 6.0 Gb/s
1572;Western Digital Purple Pro;240.95;10000;0.024;7200;256;3.5;SATA 6.0 Gb/s
1573;Seagate FireCuda 520 Rev 2.0;;2000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1574;Toshiba PH3500U-1I72;169;5000;0.034;7200;128;3.5;SATA 6.0 Gb/s
1575;Western Digital Blue;91.13;250;0.365;SSD;;2.5;SATA 6.0 Gb/s
1576;Patriot P300;81.14;1000;0.081;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1577;Western Digital Purple;73;2000;0.036;5400;64;3.5;SATA 6.0 Gb/s
1578;SanDisk Ultra II;226.49;960;0.236;SSD;;2.5;SATA 6.0 Gb/s
1579;Seagate BarraCuda;89;1500;0.059;7200;32;3.5;SATA 3.0 Gb/s
1580;SanDisk X400;249;512;0.486;SSD;;M.2-2280;M.2 SATA
1581;SK Hynix SL308;70;250;0.28;SSD;;2.5;SATA 6.0 Gb/s
1582;SanDisk X600;860;1000;0.86;SSD;;M.2-2280;M.2 SATA
1583;Transcend 110S;49.95;512;0.098;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1584;Inland Gaming Performance Plus;92.99;1000;0.093;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1585;Fantom Drives VENOM8;144.94;2000;0.072;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1586;Western Digital Caviar Green;70.45;500;0.141;5400;32;3.5;SATA 3.0 Gb/s
1587;OCZ Vertex 3;;120;;SSD;;2.5;SATA 6.0 Gb/s
1588;Samsung 830;;256;;SSD;;2.5;SATA 6.0 Gb/s
1589;Hitachi Ultrastar He8;309;8000;0.039;7200;128;3.5;SATA 6.0 Gb/s
1590;Hitachi HDS723020BLA642;;2000;;7200;64;3.5;SATA 6.0 Gb/s
1591;Kingston UV500B;;240;;SSD;;2.5;SATA 6.0 Gb/s
1592;Intel MEMPEK1J032GAXT;;32;;SSD;;M.2-2280;M.2 PCIe 3.0 X2
1593;PNY CS2130;226.61;2000;0.113;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1594;TEAMGROUP T-Force Cardea Zero Z330;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1595;Western Digital Blue SN550;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1596;Inland QN322;;500;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1597;Netac NV3000;;500;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1598;KIOXIA BG5;;512;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1599;Leven JPS850;;4000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1600;Western Digital Purple Pro;337.89;18000;0.019;7200;512;3.5;SATA 6.0 Gb/s
1601;Seagate Barracuda XT;;3000;;7200;64;3.5;SATA 6.0 Gb/s
1602;Western Digital Red Plus;69.99;3000;0.023;5400;128;3.5;SATA 6.0 Gb/s
1603;Seagate ST2000NX0253;138.44;2000;0.069;7200;128;2.5;SATA 6.0 Gb/s
1604;Lexar Professional NM800PRO w/Heatsink;89.99;1000;0.09;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1605;OCZ Colossus 2;995;460;2.163;SSD;;3.5;SATA 3.0 Gb/s
1606;Western Digital Gold;206.45;10000;0.021;7200;256;3.5;SATA 6.0 Gb/s
1607;Timetec 35TTQNM2SATA;107.99;2000;0.054;SSD;;M.2-2280;M.2 SATA
1608;KingSpec NXM;42.99;512;0.084;SSD;;M.2-2242;M.2 PCIe 3.0 X4
1609;Hitachi Ultrastar 7K3000;83.28;2000;0.042;7200;64;3.5;SATA 6.0 Gb/s
1610;TEAMGROUP T-Force Delta RGB Lite;;500;;SSD;;2.5;SATA 6.0 Gb/s
1611;Seagate Exos X18;237.99;10000;0.024;7200;256;3.5;SATA 6.0 Gb/s
1612;Corsair MP600;;500;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1613;Seagate BarraCuda;111.64;1000;0.112;7200;32;3.5;SATA 3.0 Gb/s
1614;Western Digital Caviar Green;229;3000;0.076;5400;64;3.5;SATA 3.0 Gb/s
1615;Intel Optane 905P;;380;;SSD;;M.2-22110;M.2 PCIe 3.0 X4
1616;Crucial M500;167.99;240;0.7;SSD;;2.5;SATA 6.0 Gb/s
1617;Crucial MX300;268.44;2050;0.131;SSD;;2.5;SATA 6.0 Gb/s
1618;PNY XLR8 CS3030;299;2000;0.149;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1619;Seagate IronWolf 125;;4000;;SSD;;2.5;SATA 6.0 Gb/s
1620;Seagate Exos 7E8 512e;264.5;8000;0.033;7200;256;3.5;SATA 6.0 Gb/s
1621;Western Digital VelociRaptor;95.51;300;0.318;10000;16;3.5;SATA 3.0 Gb/s
1622;SanDisk Solid State Drive;;128;;SSD;;2.5;SATA 6.0 Gb/s
1623;Kingston Savage;;240;;SSD;;2.5;SATA 6.0 Gb/s
1624;Western Digital Blue;;1000;;;64;2.5;SATA 6.0 Gb/s
1625;ADATA Premier SP550;;120;;SSD;;2.5;SATA 6.0 Gb/s
1626;Toshiba X300;;5000;;7200;128;3.5;SATA 6.0 Gb/s
1627;Samsung SM961;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1628;Seagate BarraCuda Pro;;2000;;7200;128;3.5;SATA 6.0 Gb/s
1629;Crucial BX500;;960;;SSD;;2.5;SATA 6.0 Gb/s
1630;ADATA Swordfish;;250;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1631;Kingston KC2500;;2000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1632;Seagate IronWolf NAS;94.99;3000;0.032;5400;256;3.5;SATA 6.0 Gb/s
1633;ADATA LEGEND 800 GOLD;;2000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1634;Seagate Exos X18;314.21;18000;0.017;7200;256;3.5;SAS 12.0 Gb/s
1635;Toshiba MG07ACA12TE;269.99;12000;0.022;7200;256;3.5;SATA 6.0 Gb/s
1636;ADATA XPG GAMMIX S70;;2000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1637;TEAMGROUP T-FORCE Z44A5;;2000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1638;Toshiba N300 Pro;334.99;18000;0.019;7200;512;3.5;SATA 6.0 Gb/s
1639;Western Digital Gold;97.45;2000;0.049;7200;128;3.5;SATA 6.0 Gb/s
1640;Toshiba MG04ACA100N;78.06;1000;0.078;7200;128;3.5;SATA 6.0 Gb/s
1641;Western Digital Purple;87.99;3000;0.029;5400;64;3.5;SATA 6.0 Gb/s
1642;Silicon Power A58;;1000;;SSD;;2.5;SATA 6.0 Gb/s
1643;Lexar NS100;;256;;SSD;;2.5;SATA 6.0 Gb/s
1644;Inland Gaming Performance Plus;149.99;2000;0.075;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1645;Seagate Constellation ES;51;1000;0.051;7200;64;3.5;SATA 6.0 Gb/s
1646;Sabrent Rocket Q;816.01;4000;0.204;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1647;Corsair MP600 PRO XT;179.99;2000;0.09;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1648;Seagate FireCuda 540 w/Heatsink;;2000;;SSD;;M.2-2280;M.2 PCIe 5.0 X4
1649;KingSpec XG7000;52.99;512;0.103;SSD;;M.2-2242;M.2 PCIe 4.0 X4
1650;Hitachi Travelstar Z5K500;150;500;0.3;5400;8;2.5;SATA 3.0 Gb/s
1651;Addlink S95;934.44;8000;0.117;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1652;Western Digital Blue;79.99;3000;0.027;5400;256;3.5;SATA 6.0 Gb/s
1653;Western Digital RE;107.99;5000;0.022;7200;128;3.5;SATA 6.0 Gb/s
1654;Micron 1100;;512;;SSD;;M.2-2280;M.2 SATA
1655;ADATA XPG SX8100;76.09;512;0.149;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1656;Toshiba XG6;55;512;0.107;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1657;Western Digital Caviar Green;;1500;;7200;64;3.5;SATA 6.0 Gb/s
1658;Kingston SSDNow E100;;200;;SSD;;2.5;SATA 6.0 Gb/s
1659;Crucial MX200;;500;;SSD;;2.5;SATA 6.0 Gb/s
1660;Western Digital Blue;;4000;;;64;3.5;SATA 6.0 Gb/s
1661;Corsair Force LE;;240;;SSD;;2.5;SATA 6.0 Gb/s
1662;Seagate IronWolf Pro;;8000;;7200;256;3.5;SATA 6.0 Gb/s
1663;Corsair Force MP500;;120;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1664;Intel 545s;;512;;SSD;;2.5;SATA 6.0 Gb/s
1665;TEAMGROUP L3 EVO;;240;;SSD;;2.5;SATA 6.0 Gb/s
1666;Gigabyte GP-GSM2NE8256GNTD;;256;;SSD;;M.2-2280;M.2 PCIe 3.0 X2
1667;Inland Professional;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X2
1668;Seagate BarraCuda 120;;250;;SSD;;2.5;SATA 6.0 Gb/s
1669;Enmotus FuzeDrive;;900;;SSD;24576;M.2-2280;M.2 PCIe 3.0 X4
1670;TEAMGROUP T-Force Cardea II TUF Gaming Alliance;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1671;Seagate Exos X16;;16000;;7200;256;3.5;SATA 6.0 Gb/s
1672;Netac NV2000;;256;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1673;TEAMGROUP T-FORCE G70 PRO Graphene;;512;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1674;Klevv CRAS 910 Lite;;500;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1675;Mushkin ELEMENT;182.99;2000;0.091;SSD;;2.5;SATA 6.0 Gb/s
1676;Seagate SkyHawk AI;299.99;16000;0.019;7200;256;3.5;SATA 6.0 Gb/s
1677;Western Digital Gold;419.99;20000;0.021;7200;512;3.5;SATA 6.0 Gb/s
1678;Seagate BarraCuda Pro Compute;28.73;500;0.057;7200;128;2.5;SATA 6.0 Gb/s
1679;Sabrent Rocket 4.0;99.99;1000;0.1;SSD;;M.2-2230;M.2 PCIe 4.0 X4
1680;MSI SPATIUM M470;;2000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1681;Crucial MX200;397.77;500;0.796;SSD;;M.2-2260;M.2 SATA
1682;Toshiba N300 Pro;238.44;10000;0.024;7200;512;3.5;SATA 6.0 Gb/s
1683;Intel DC P3600;489.74;400;1.224;SSD;;PCIe;PCIe x4
1684;Western Digital Purple;289.98;12000;0.024;7200;256;3.5;SATA 6.0 Gb/s
1685;Western Digital Black;;8000;;7200;256;3.5;SATA 6.0 Gb/s
1686;Gigabyte M30;68.88;512;0.135;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1687;Seagate Constellation ES.2;;3000;;7200;64;3.5;SATA 6.0 Gb/s
1688;Western Digital Blue SN500;88.98;250;0.356;SSD;;M.2-2280;M.2 PCIe 3.0 X2
1689;Seagate Exos 7E10 512n;197;6000;0.033;7200;256;3.5;SATA 6.0 Gb/s
1690;Toshiba S300;89.99;1000;0.09;5700;64;3.5;SATA 6.0 Gb/s
1691;Western Digital Caviar Blue;;160;;7200;8;3.5;SATA 3.0 Gb/s
1692;Samsung Spinpoint F2 EG;;500;;5400;16;3.5;SATA 3.0 Gb/s
1693;Seagate Barracuda LP;118.77;2000;0.059;5900;32;3.5;SATA 3.0 Gb/s
1694;Samsung 840;;120;;SSD;;2.5;SATA 6.0 Gb/s
1695;Intel 530;199;240;0.829;SSD;;2.5;SATA 6.0 Gb/s
1696;Crucial MX100;;128;;SSD;;2.5;SATA 6.0 Gb/s
1697;Seagate Surveillance HDD;;6000;;5400;128;3.5;SATA 6.0 Gb/s
1698;SanDisk SSD PLUS;;240;;SSD;;2.5;SATA 6.0 Gb/s
1699;Intel 750;;800;;SSD;;PCIe;PCIe x4
1700;SanDisk Z400s;;128;;SSD;;2.5;SATA 6.0 Gb/s
1701;Micron M600;;1000;;SSD;;2.5;SATA 6.0 Gb/s
1702;Toshiba OCZ TR200;110;480;0.229;SSD;;2.5;SATA 6.0 Gb/s
1703;Intel Optane 905P;;960;;SSD;;PCIe;PCIe x4
1704;Silicon Power P34A80;;1000;;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1705;Transcend 220S;44.83;256;0.175;SSD;;M.2-2280;M.2 PCIe 3.0 X4
1706;KIOXIA EXCERIA;;240;;SSD;;2.5;SATA 6.0 Gb/s
1707;Netac NV7000;100.99;1000;0.101;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1708;Netac NV7000-t;68.98;512;0.135;SSD;;M.2-2280;M.2 PCIe 4.0 X4
1709;Seagate SkyHawk Surveillance +Rescue;179.99;8000;0.022;5400;256;3.5;SATA 6.0 Gb/s
1710;Toshiba N300;189.99;10000;0.019;7200;256;3.5;SATA 6.0 Gb/s
1711;TEAMGROUP T-Create Classic;;1000;;SSD;;M.2-2280;M.2 PCIe 4.0 X4
